Popis,XPath,Povinnost,Původ,Verzování,Násobnost,Název fieldu indexu,Typ fieldu indexu,Child
Technická metadata agregovaná generovaná ARCLib,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:formatRegistryKey,povinné,generuje ARCLib,verzuje se,1,identified_format_format_registry_key,string,identified_format
Technická metadata agregovaná generovaná ARCLib,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:formatRegistryName,povinné,generuje ARCLib,verzuje se,1,identified_format_format_registry_name,string,identified_format
Technická metadata agregovaná generovaná ARCLib,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:fileCount,povinné,generuje ARCLib,verzuje se,1,identified_format_file_count,int,identified_format
Technická metadata agregovaná generovaná ARCLib,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:creatingApplicationName,povinné,generuje ARCLib,verzuje se,1,identified_format_creating_application_name,text,identified_format
Technická metadata agregovaná generovaná ARCLib,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:creatingApplicationVersion,povinné,generuje ARCLib,verzuje se,1,identified_format_creating_application_version,text,identified_format
Technická metadata agregovaná generovaná ARCLib,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:dateCreatedByApplication,povinné,generuje ARCLib,verzuje se,1,identified_format_date_created_by_application,date,identified_format
Technická metadata agregovaná přebíraná,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:devices/ARCLib:device,nepovinné,generuje ARCLib,neverzuje se,N,,,device
Technická metadata agregovaná přebíraná,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:devices/ARCLib:device/ARCLib:deviceId,nepovinné,generuje ARCLib,neverzuje se,1,device_id,lowercase,device
Technická metadata agregovaná přebíraná,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:devices/ARCLib:device/ARCLib:fileCount,nepovinné,generuje ARCLib,neverzuje se,1,device_file_count,int,device
Technická metadata agregovaná přebíraná,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:ImageCaptureInformation/ARCLib:ImageCaptureMetadata,nepovinné,generuje ARCLib,neverzuje se,N,,,img_metadata
Technická metadata agregovaná přebíraná,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:ImageCaptureInformation/ARCLib:ImageCaptureMetadata/ARCLib:dateCreated,nepovinné,generuje ARCLib,neverzuje se,1,img_metadata_date_created,date,img_metadata
