Description (DOC – this column is for documentation purpose only),Xpath (SYS – values of this column are parsed and used by the system),Must be present (DOC),Data source (SYS),Check existence (SYS),Multiplicity (SYS),Index field name (SYS),Element type (SYS),Index Child (SYS),Label (CZ),Label (EN)
Descriptive metadata - Dublin Core,/METS:mets/METS:dmdSec[METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc]/METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc/dc:relation,FALSE,SIP profile XSLT,FALSE,1,dublin_core_relation,other,dublin_core,,
Descriptive metadata - Dublin Core,/METS:mets/METS:dmdSec[METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc]/METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc/dc:coverage,FALSE,SIP profile XSLT,FALSE,1,dublin_core_coverage,other,dublin_core,,
Descriptive metadata - Dublin Core,/METS:mets/METS:dmdSec[METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc]/METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc/dc:rights,FALSE,SIP profile XSLT,FALSE,1,dublin_core_rights,other,dublin_core,,
SIP version serial number,/METS:mets/METS:amdSec/mets:digiprovMD[@ID='ARCLIB_SIP_INFO']/METS:mdWrap/METS:xmlData/ARCLib:sipInfo/ARCLib:sipVersionNumber,TRUE,system,TRUE,1,sip_version_number,other,,Číslo verze SIP,
SIP versions link - ID of the previous version SIP,/METS:mets/METS:amdSec/mets:digiprovMD[@ID='ARCLIB_SIP_INFO']/METS:mdWrap/METS:xmlData/ARCLib:sipInfo/ARCLib:sipVersionOf,TRUE,system,TRUE,1,sip_version_of,other,,ID předchozí verze SIP,
XML version serial number,/METS:mets/METS:amdSec/mets:digiprovMD[@ID='ARCLIB_SIP_INFO']/METS:mdWrap/METS:xmlData/ARCLib:sipInfo/ARCLib:xmlVersionNumber,TRUE,system,TRUE,1,xml_version_number,other,,Číslo XML verze,
XML versions link - ID of the previous version XML,/METS:mets/METS:amdSec/mets:digiprovMD[@ID='ARCLIB_SIP_INFO']/METS:mdWrap/METS:xmlData/ARCLib:sipInfo/ARCLib:xmlVersionOf,TRUE,system,TRUE,1,xml_version_of,other,,ID předchozí verze XML,
Used producer profile,/METS:mets/METS:amdSec/mets:digiprovMD[@ID='ARCLIB_SIP_INFO']/METS:mdWrap/METS:xmlData/ARCLib:sipInfo/ARCLib:ingestProfiles/ARCLib:producerProfile,TRUE,system,TRUE,1,producer_profile,other,,Externí ID profilu dodavatele,
Used SIP profile,/METS:mets/METS:amdSec/mets:digiprovMD[@ID='ARCLIB_SIP_INFO']/METS:mdWrap/METS:xmlData/ARCLib:sipInfo/ARCLib:ingestProfiles/ARCLib:sipProfile,TRUE,system,TRUE,1,sip_profile,other,,Externí ID SIP profilu,
Used Validation profile,/METS:mets/METS:amdSec/mets:digiprovMD[@ID='ARCLIB_SIP_INFO']/METS:mdWrap/METS:xmlData/ARCLib:sipInfo/ARCLib:ingestProfiles/ARCLib:validationProfile,TRUE,system,TRUE,1,validation_profile,other,,Externí ID validačního profilu,
Used Workflow definition,/METS:mets/METS:amdSec/mets:digiprovMD[@ID='ARCLIB_SIP_INFO']/METS:mdWrap/METS:xmlData/ARCLib:sipInfo/ARCLib:ingestProfiles/ARCLib:workflowDefinition,TRUE,system,TRUE,1,workflow_definition,other,,Externí ID definice workflow,
AIP techMD,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/premis:object/premis:objectIdentifier,TRUE,fixity generator,TRUE,1,,,,,
AIP techMD,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/premis:object/premis:objectCharacteristics/premis:fixity,TRUE,fixity generator,TRUE,N,,,,,
AIP techMD,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/premis:object/premis:objectCharacteristics/premis:size,TRUE,fixity generator,TRUE,1,,,,,
AIP techMD,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/premis:object/premis:objectCharacteristics/premis:format,TRUE,fixity generator,TRUE,1,,,,,
Agregated techMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:formats/ARCLib:format,FALSE,SIP profile XSLT,FALSE,N,,,extracted_format,,
Agregated techMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:fileFormat,FALSE,SIP profile XSLT,FALSE,1,extracted_format_file_format,other,extracted_format,,
Agregated techMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:formatRegistryKey,FALSE,SIP profile XSLT,FALSE,1,extracted_format_format_registry_key,other,extracted_format,,
Agregated techMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:formatRegistryName,FALSE,SIP profile XSLT,FALSE,1,extracted_format_format_registry_name,other,extracted_format,,
Agregated techMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:fileCount,FALSE,SIP profile XSLT,FALSE,1,extracted_format_file_count,other,extracted_format,,
Agregated techMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:creatingApplicationName,FALSE,SIP profile XSLT,FALSE,1,extracted_format_creating_application_name,other,extracted_format,,
Agregated techMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:creatingApplicationVersion,FALSE,SIP profile XSLT,FALSE,1,extracted_format_creating_application_version,other,extracted_format,,
